city,store_name,stage,priority,phone,email
Manchester,Found Exchange,Negotiating,0.72,+44766005300,hello@foundexchange.com
LA,Old Rail,Call Booked,0.71,+18038993664,
Bristol,Brick Lane Emporium,Call Booked,0.64,7366811166,shop@bricklaneempor.store
Bristol,Maison Rail,Negotiating,0.63,+447237119418,info@maisonrail.com
LA,Past Cellar,Replied,0.6,+13948899136,tomberg@outlook.com
LA,Second Society,Negotiating,0.59,+12608084195,aishacosta79@outlook.com
London,Brick Lane Threads,Warm,0.58,+447965352784,corakhan27@yahoo.com
Berlin,Found Vault,Call Booked,0.54,+491787308973,theonguyen12@yahoo.com
New York,Second Trunk,Call Booked,0.53,+16465543766,hello@secondtrunk.store
Berlin,House of Wardrobe,Replied,0.52,+493772397393,shop@houseofwardrob.store
Bristol,Second Collective,Replied,0.5,+447800705413,lukaswalsh70@outlook.com
Brighton,Corner Emporium,Replied,0.45,,nadiaandersson94@yahoo.com
Brighton,Corner Loom,Replied,0.44,7462639414,info@cornerloom.co.uk
Bristol,Blue Collective,Replied,0.43,,
Paris,Atelier Garms,Negotiating,0.4,+338781129387,
London,The Collective,Warm,0.4,+447182574459,shop@thecollective.com
Brighton,Blue Garms,Negotiating,0.37,+447991883600,info@bluegarms.co.uk
Brighton,Loft Emporium,Call Booked,0.35,,shop@loftemporium.co.uk
Berlin,Old Lab,Replied,0.34,+493478896729,shop@oldlab.co.uk
New York,Corner Vault,Negotiating,0.27,+14855371013,hello@cornervault.com
Paris,Maison Emporium,Replied,0.26,+336923932047,felixrossi@gmail.com
Bristol,Past Lab,Call Booked,0.25,,shop@pastlab.com
Berlin,Rusty Edit,Warm,0.1,+496659322961,info@rustyedit.store
